Contact__c,Min_IT_Loan_ID__c,Opp_Number__c,Id,AccountID,Number_Of_Loans_Granted__c,Num_Of_Loans_Paid__c,Purpose_of_Loan__c,Total_Repayments__c,Amount,Term_in_Weeks__c,Payment_Frequency__c,StageName,userId,loanId,count,LoanIdFormat
00328000016HWUTAA4,845477,4523090,0062x00000D8FwgAAF,0012800001OAPYBAA5,31,26.0,Vehicle Expenses,7,1000,12.714,Fortnightly,Loan Paid,1985,2251,21.0,4
0030K00001sBFn0QAG,5147750,4498764,0062x00000D7lDTAAZ,0010K00002409o1QAA,31,27.0,Living Expenses,5,500,10.0,Fortnightly,Loan Paid,1887,2513,23.0,4
0032x000001jGkKAAU,837587,4455099,0062x00000D6pBJAAZ,0012x000002aNk4AAE,31,27.0,Living Expenses,7,500,13.286,Fortnightly,Loan Paid,2776,3385,23.0,4
0030K00001rOZ3PQAW,5147052,4457091,0062x00000D6s4aAAB,0010K000023QCpfQAG,31,26.0,Travel Expenses,5,450,10.143,Fortnightly,Loan Paid,2561,597,21.0,4
003280000128jYKAAY,836666,4443558,0062x00000D2OgmAAF,0012800001IzG8QAAV,31,28.0,Vehicle Expenses,7,1200,13.571,Fortnightly,Loan Paid,2343,599,25.0,4
0030K00001uYj8VQAS,5146655,4431024,0062x00000D2AVkAAN,0010K000025xzeRQAQ,31,27.0,Living Expenses,5,500,10.0,Fortnightly,Loan Paid,1736,4395,23.0,4
0032x000002S2tSAAS,5146491,4422954,0062x00000D20gnAAB,0012x000003CLCdAAO,31,27.0,Vehicle Expenses,7,1050,14.0,Fortnightly,Loan Paid,1942,4157,23.0,4
0030K000025UhbPQAS,5146299,4411622,0062x00000D1nY4AAJ,0010K00002BSLADQA5,31,26.0,Vehicle Expenses,5,400,10.0,Fortnightly,Loan Paid,1807,2787,21.0,4
0030K000026AFxJQAW,5146315,4414702,0062x00000D1qp6AAB,0010K00002COnTVQA1,31,25.0,Living Expenses,3,300,6.0,Fortnightly,Loan Paid,273,1860,19.0,4
00328000019useBAAQ,1002135,6082659,0062x00000EM7UaAAL,0012800001SDTrFAAX,31,29.0,Vehicle Expenses,7,1000,14.286,Fortnightly,Loan Paid,1570,3073,27.0,4
0030K00001qDKYEQA4,5148805,4547593,0062x00000D8jlXAAR,0010K000022PagKQAS,31,28.0,Travel Expenses,5,400,10.143,Fortnightly,Loan Paid,1280,1353,25.0,4
0032x000008KYRXAA4,5148938,4551158,0062x00000D8p6VAAR,0012x00000BIu6lAAD,31,25.0,Vehicle Expenses,7,500,13.0,Fortnightly,Loan Paid,2137,1941,19.0,4
0032800001Draj5AAB,1019387,6416761,0062x00000EdLBpAAN,0012800001VoX50AAF,30,28.0,Medical Expenses,7,750,13.429,Fortnightly,Loan Paid,2834,550,26.0,4
00328000015T7ZfAAK,1009461,6229214,0062x00000EO4cPAAT,0012800001NDgzeAAD,30,28.0,Home Maintenance & Repairs,7,1000,13.143,Fortnightly,Loan Paid,803,2793,26.0,4
00328000015T7dmAAC,996448,5957913,0062x00000EDfePAAT,0012800001NDh3sAAD,30,29.0,Vehicle Expenses,5,750,9.857,Fortnightly,Loan Paid,245,362,28.0,4
003280000128jaNAAQ,995468,5941922,0062x00000EDPObAAP,0012800001IzGAOAA3,30,27.0,Child Expenses,7,1000,13.571,Fortnightly,Loan Paid,771,3925,24.0,4
0030K000021syOtQAI,5166444,5699983,0062x00000E61QHAAZ,0010K00002829PZQAY,30,28.0,Home Maintenance & Repairs,5,300,9.857,Fortnightly,Loan Paid,390,2041,26.0,4
0030K00001pzT5IQAU,5165422,5532841,0062x00000E41AfAAJ,0010K000022OFqnQAG,30,29.0,Medical Expenses,5,400,10.143,Fortnightly,Loan Paid,2354,1329,28.0,4
0030K00001jWYbSQAW,5165248,5516639,0062x00000E3k8VAAR,0010K000020H3DsQAK,30,28.0,Relocation Expenses,5,500,10.0,Fortnightly,Loan Paid,2117,3061,26.0,4
0030K00001nY2hvQAC,5164066,5414713,0062x00000DV2fmAAD,0010K000021DNiXQAW,30,28.0,Vehicle Expenses,5,500,8.714,Fortnightly,Loan Paid,303,2478,26.0,4
003280000152GfaAAE,929678,5285759,0062x00000Dt5qPAAR,0012800001LhEj1AAF,30,26.0,Vehicle Expenses,5,1000,10.143,Fortnightly,Loan Paid,133,1779,22.0,4
0032800001GuYucAAF,929180,5274283,0062x00000DswPMAAZ,0012800001Z3sQiAAJ,30,27.0,Living Expenses,5,300,9.429,Fortnightly,Loan Paid,1787,3922,24.0,4
0032x000002SJVzAAO,924364,5220952,0062x00000Ds7uvAAB,0012x000003CbxmAAC,30,25.0,Vehicle Expenses,7,1200,13.429,Fortnightly,Loan Paid,1802,998,20.0,4
0030K000021syOtQAI,5161883,5220603,0062x00000Ds7L1AAJ,0010K00002829PZQAY,30,27.0,Home Maintenance & Repairs,3,300,6.429,Fortnightly,Loan Paid,390,4247,24.0,4
0032800000zs5lcAAA,922873,5209298,0062x00000DrxKIAAZ,0012800001HkGQCAA3,30,29.0,Living Expenses,7,350,14.571,Fortnightly,Loan Paid,1538,298,28.0,4
0030K00001dq2UkQAI,5161617,5200836,0062x00000DrsYBAAZ,0010K000020JnclQAC,30,29.0,Life Event Expenses,7,500,14.143,Fortnightly,Loan Paid,167,2578,28.0,4
0030K00001SCEo7QAH,918139,5161509,0062x00000DrLotAAF,0010K00001hTxeSQAS,30,28.0,Child Expenses,5,400,9.571,Fortnightly,Loan Paid,2745,1871,26.0,4
00328000019usc2AAA,916223,5144343,0062x00000Dr4B1AAJ,0012800001SDToxAAH,30,29.0,Vehicle Expenses,3,500,5.0,Fortnightly,Loan Paid,692,2212,28.0,4
00328000019usc2AAA,914150,5122082,0062x00000DZt8OAAT,0012800001SDToxAAH,30,28.0,Furniture or Appliances,3,500,5.571,Fortnightly,Loan Paid,692,1357,26.0,4
0030K00001x5BvTQAU,5160015,5114773,0062x00000DZnz7AAD,0010K0000273UzpQAE,30,29.0,Medical Expenses,5,1000,10.0,Fortnightly,Loan Paid,1927,122,28.0,4
0032x000002QK6eAAG,5158944,5044982,0062x00000DYe3OAAT,0012x000002d6eHAAQ,30,27.0,Furniture or Appliances,4,400,8.286,Fortnightly,Loan Paid,915,832,24.0,4
0030K00001pzT5IQAU,5158946,5045104,0062x00000DYeFtAAL,0010K000022OFqnQAG,30,28.0,Vehicle Expenses,4,400,8.143,Fortnightly,Loan Paid,2354,9,26.0,4
0030K00001dq2UkQAI,5158466,5008493,0062x00000DY1TvAAL,0010K000020JnclQAC,30,28.0,Medical Expenses,3,300,6.286,Fortnightly,Loan Paid,167,2395,26.0,4
0032800001GuYucAAF,898979,4970444,0062x00000DXOlJAAX,0012800001Z3sQiAAJ,30,26.0,Life Event Expenses,3,500,5.857,Fortnightly,Loan Paid,1787,1925,22.0,4
0030K00001SCEo7QAH,896431,4946874,0062x00000DWx7RAAT,0010K00001hTxeSQAS,30,27.0,Furniture or Appliances,5,300,9.143,Fortnightly,Loan Paid,2745,2870,24.0,4
0030K00001vHfiNQAS,5155981,4874787,0062x00000DJAIEAA5,0010K0000260L8rQAE,30,28.0,Vehicle Expenses,5,500,9.857,Fortnightly,Loan Paid,1030,2139,26.0,4
0030K00001hI5fLQAS,884957,4840714,0062x00000DIZtOAAX,0010K00001vH9Z2QAK,30,24.0,Child Expenses,6,1000,11.714,Fortnightly,Loan Paid,1078,241,18.0,4
0032800001EG7jFAAT,884857,4837987,0062x00000DIXYhAAP,0012800001WDcVMAA1,30,28.0,Home Maintenance & Repairs,7,1000,12.857,Fortnightly,Loan Paid,827,2369,26.0,4
003280000152GfaAAE,883894,4831196,0062x00000DIPVGAA5,0012800001LhEj1AAF,30,25.0,Vehicle Expenses,5,1000,9.857,Fortnightly,Loan Paid,133,2596,20.0,4
0030K00001cUeuRQAS,878930,4789955,0062x00000DHeppAAD,0010K00001rk340QAA,30,27.0,Home Maintenance & Repairs,7,800,13.857,Fortnightly,Loan Paid,1153,586,24.0,4
0030K00001sClQHQA0,5153847,4762294,0062x00000DH72uAAD,0010K0000241gSrQAI,30,27.0,Living Expenses,7,500,14.429,Fortnightly,Loan Paid,2429,810,24.0,4
0030K00001x5BvTQAU,5153790,4760798,0062x00000DH5CyAAL,0010K0000273UzpQAE,30,28.0,Medical Expenses,6,500,11.714,Fortnightly,Loan Paid,1927,4034,26.0,4
0030K00001dq2UkQAI,5153698,4757871,0062x00000DH2luAAD,0010K000020JnclQAC,30,27.0,Child Expenses,5,500,9.857,Fortnightly,Loan Paid,167,3621,24.0,4
003280000128jcpAAA,866404,4692782,0062x00000DFtypAAD,0012800001IzGCqAAN,30,28.0,Furniture or Appliances,7,1000,14.143,Fortnightly,Loan Paid,2237,4150,26.0,4
0030K000022vhn2QAA,5151773,4685260,0062x00000DFl5pAAD,0010K0000282rlZQAQ,30,26.0,Travel Expenses,7,1250,14.143,Fortnightly,Loan Paid,762,4180,22.0,4
0030K00001sCmjPQAS,5151693,4679623,0062x00000DFeLoAAL,0010K0000241i3OQAQ,30,27.0,Medical Expenses,7,300,14.0,Fortnightly,Loan Paid,648,1995,24.0,4
0030K00001jWYbSQAW,5151646,4674159,0062x00000DFYFVAA5,0010K000020H3DsQAK,30,27.0,Vehicle Expenses,7,500,14.143,Fortnightly,Loan Paid,2117,285,24.0,4
0030K00001nVGP1QAO,5151620,4668417,0062x00000DFRVWAA5,0010K000020IWDHQA4,30,28.0,Other Expenses,8,250,15.571,Fortnightly,Loan Paid,1987,1517,26.0,4
0030K00001SCEo7QAH,860630,4647719,0062x00000DApu3AAD,0010K00001hTxeSQAS,30,26.0,Vehicle Expenses,7,500,13.857,Fortnightly,Loan Paid,2745,4154,22.0,4
00328000019usf2AAA,860514,4647121,0062x00000DAp01AAD,0012800001SDTs6AAH,30,27.0,Other Expenses,7,600,14.0,Fortnightly,Loan Paid,1619,1575,24.0,4
0030K000021syOtQAI,5151165,4641888,0062x00000DAi1fAAD,0010K00002829PZQAY,30,26.0,Vehicle Expenses,7,300,13.143,Fortnightly,Loan Paid,390,1938,22.0,4
0030K00001nVDbGQAW,856922,4622214,0062x00000DAH2qAAH,0010K000020ITgIQAW,30,24.0,Other Expenses,7,1200,13.429,Fortnightly,Loan Paid,2002,2828,18.0,4
0030K00001nVGP1QAO,5150758,4621099,0062x00000DAFm8AAH,0010K000020IWDHQA4,30,27.0,Vehicle Expenses,7,200,14.429,Fortnightly,Loan Paid,1987,3077,24.0,4
0030K00001bqGOAQA2,856537,4619184,0062x00000DADqwAAH,0010K00001rIKCCQA4,30,27.0,Vehicle Expenses,7,500,13.571,Fortnightly,Loan Paid,1200,2279,24.0,4
0032800001Draj5AAB,855806,4614245,0062x00000DA89YAAT,0012800001VoX50AAF,30,26.0,Vehicle Expenses,7,1000,13.714,Fortnightly,Loan Paid,2834,129,22.0,4
0032800000yFEhWAAW,5150416,4609867,0062x00000DA2LxAAL,0010K000020H3tkQAC,30,28.0,Medical Expenses,7,750,13.857,Fortnightly,Loan Paid,2166,3882,26.0,4
0030K00001pzT5IQAU,5150187,4602484,0062x00000D9s4UAAR,0010K000022OFqnQAG,30,27.0,Living Expenses,5,400,10.0,Fortnightly,Loan Paid,2354,542,24.0,4
0030K00001sC0XWQA0,5148100,4510635,0062x00000D81emAAB,0010K0000240v96QAA,30,28.0,Child Expenses,10,500,19.0,Fortnightly,Loan Paid,1361,899,26.0,4
0030K00001vHfiNQAS,5148181,4513928,0062x00000D8561AAB,0010K0000260L8rQAE,30,27.0,Vehicle Expenses,5,500,9.714,Fortnightly,Loan Paid,1030,1537,24.0,4
0030K00001OgZtdQAF,842731,4499912,0062x00000D7mYJAAZ,0010K00001eYYisQAG,30,27.0,Medical Expenses,7,600,13.857,Fortnightly,Loan Paid,259,1989,24.0,4
0030K00001Yk9VFQAZ,837025,4449362,0062x00000D2VSwAAN,0010K00001mgsWVQAY,30,26.0,Child Expenses,7,900,13.286,Fortnightly,Loan Paid,1894,440,22.0,4
0030K00001SCEo7QAH,832393,4407274,0062x00000D1ixAAAR,0010K00001hTxeSQAS,30,25.0,Home Maintenance & Repairs,5,500,10.0,Fortnightly,Loan Paid,2745,4423,20.0,4
0030K00001UlediQAB,851084,4578252,0062x00000D9Lh9AAF,0010K00001jPC8OQAW,30,29.0,Life Event Expenses,7,1000,14.429,Fortnightly,Loan Paid,1689,3548,28.0,4
003280000146iLdAAI,831238,4394580,0062x00000D1WdiAAF,0012800001JfYkPAAV,29,28.0,Living Expenses,7,300,13.429,Fortnightly,Loan Paid,309,3819,27.0,4
0032x000002Rpn0AAC,1016902,6373351,0062x00000EciGdAAJ,0012x000003C8gKAAS,29,25.0,Vehicle Expenses,7,750,13.143,Fortnightly,Loan Paid,1968,1093,21.0,4
0030K00001okNR9QAM,5168936,6105739,0062x00000EMT6rAAH,0010K000021W0b7QAC,29,27.0,Vehicle Expenses,7,500,13.714,Fortnightly,Loan Paid,2330,2059,25.0,4
0030K00001sAxybQAC,5168250,6015360,0062x00000EET5FAAX,0010K000023zsbXQAQ,29,27.0,Vehicle Expenses,8,500,16.143,Fortnightly,Loan Paid,1423,17,25.0,4
00328000016mCm0AAE,996083,5950094,0062x00000EDXU4AAP,0012800001OiGGMAA3,29,25.0,Other Expenses,8,1000,15.143,Fortnightly,Loan Paid,224,3506,21.0,4
00328000019urWZAAY,995494,5942280,0062x00000EDPwOAAX,0012800001SDT4eAAH,29,28.0,Vehicle Expenses,3,500,6.429,Fortnightly,Loan Paid,2752,4267,27.0,4
0032x000002cN6xAAE,5166456,5714881,0062x00000E6BJrAAN,0012x000003E9qvAAC,29,28.0,Medical Expenses,7,200,13.714,Fortnightly,Loan Paid,887,2852,27.0,4
0030K00001SBlnLQAT,942473,5475877,0062x00000DVmdBAAT,0010K00001hTYXsQAO,29,27.0,Vehicle Expenses,8,650,15.714,Fortnightly,Loan Paid,2256,100,25.0,4
0030K00001okNR9QAM,5164511,5451293,0062x00000DVUFgAAP,0010K000021W0b7QAC,29,26.0,Living Expenses,5,500,9.0,Fortnightly,Loan Paid,2330,4232,23.0,4
00328000019ush7AAA,940123,5439290,0062x00000DVLGTAA5,0012800001SDTuLAAX,29,27.0,Travel Expenses,7,1000,13.429,Fortnightly,Loan Paid,2206,2663,25.0,4
0032x000002QeQVAA0,5163880,5402252,0062x00000DUwONAA1,0012x000002dSDSAA2,29,27.0,Travel Expenses,5,400,9.714,Fortnightly,Loan Paid,2148,3116,25.0,4
00328000019urWZAAY,937273,5401078,0062x00000DUv6rAAD,0012800001SDT4eAAH,29,27.0,Living Expenses,8,650,16.0,Fortnightly,Loan Paid,2752,4204,25.0,4
0030K00001nYKZ7QAO,5163588,5386318,0062x00000DUjD2AAL,0010K000021DfAnQAK,29,27.0,Vehicle Expenses,5,200,9.857,Fortnightly,Loan Paid,301,1566,25.0,4
0030K0000269crpQAA,5162720,5299961,0062x00000DtH4hAAF,0010K00002CO0zaQAD,29,28.0,Living Expenses,8,400,16.143,Fortnightly,Loan Paid,1159,2299,27.0,4
0030K00001py0K8QAI,929218,5274737,0062x00000DsxBpAAJ,0010K000022MmGNQA0,29,25.0,Life Event Expenses,7,1000,13.429,Fortnightly,Loan Paid,1357,2123,21.0,4
0030K00001N1JYnQAN,919908,5180078,0062x00000DrcuMAAR,0010K00001dOlc2QAC,29,26.0,Medical Expenses,7,300,13.143,Fortnightly,Loan Paid,640,854,23.0,4
0030K00001vIv7nQAC,5161176,5171368,0062x00000DrU9EAAV,0010K000026MZ1jQAG,29,26.0,Life Event Expenses,7,1200,13.286,Fortnightly,Loan Paid,2783,2426,23.0,4
0030K00001gFMl5QAG,918796,5167153,0062x00000DrQxTAAV,0010K00001uJ2wpQAC,29,26.0,Travel Expenses,7,1000,13.571,Fortnightly,Loan Paid,2169,1711,23.0,4
0032x000002cN6xAAE,5160806,5154463,0062x00000DrFXuAAN,0012x000003E9qvAAC,29,27.0,Medical Expenses,5,200,9.857,Fortnightly,Loan Paid,887,2791,25.0,4
0030K00001eG7fCQAS,911412,5095234,0062x00000DZUR6AAP,0010K00001st1YaQAI,29,23.0,Home Maintenance & Repairs,7,1000,13.286,Fortnightly,Loan Paid,147,2358,17.0,4
0032x000002Rpn0AAC,909912,5078659,0062x00000DZBk9AAH,0012x000003C8gKAAS,29,23.0,Vehicle Expenses,4,1000,8.429,Fortnightly,Loan Paid,1968,1856,17.0,4
0030K000025TyG3QAK,5159361,5074895,0062x00000DZ85qAAD,0010K00002BRbNuQAL,29,25.0,Living Expenses,4,1000,7.571,Fortnightly,Loan Paid,2521,2836,21.0,4
0030K00001rO9QwQAK,5159318,5073588,0062x00000DZ6hBAAT,0010K000023PmXlQAK,29,26.0,Living Expenses,5,600,9.714,Fortnightly,Loan Paid,2435,3561,23.0,4
0032x000002QeQVAA0,5158956,5045928,0062x00000DYfNeAAL,0012x000002dSDSAA2,29,26.0,Travel Expenses,3,500,6.0,Fortnightly,Loan Paid,2148,1596,23.0,4
00328000016mCm0AAE,904444,5024456,0062x00000DYIVSAA5,0012800001OiGGMAA3,29,23.0,Other Expenses,4,1000,7.714,Fortnightly,Loan Paid,224,3538,17.0,4
0030K00001sAxybQAC,5158673,5022550,0062x00000DYGq4AAH,0010K000023zsbXQAQ,29,25.0,Vehicle Expenses,3,200,5.857,Fortnightly,Loan Paid,1423,3313,21.0,4
0030K00001okWTvQAM,5158600,5016098,0062x00000DYA2SAAX,0010K000021WAYHQA4,29,27.0,Living Expenses,5,400,10.143,Fortnightly,Loan Paid,2138,3195,25.0,4
00328000019usrKAAQ,899983,4972577,0062x00000DXS2GAAX,0012800001SDU4YAAX,29,26.0,Travel Expenses,5,1000,9.857,Fortnightly,Loan Paid,2546,490,23.0,4
0030K00001nYPS9QAO,5157455,4948057,0062x00000DWyE3AAL,0010K000021Dj1LQAS,29,27.0,Furniture or Appliances,7,750,13.571,Fortnightly,Loan Paid,554,1553,25.0,4
00328000019ush7AAA,896530,4947179,0062x00000DWxSoAAL,0012800001SDTuLAAX,29,26.0,Living Expenses,5,500,10.429,Fortnightly,Loan Paid,2206,2542,23.0,4
0032800001KBjAVAA1,888884,4874982,0062x00000DJAZUAA5,0012800001b1NIZAA2,29,25.0,Travel Expenses,5,1000,9.143,Fortnightly,Loan Paid,2828,4026,21.0,4
0030K00001okNR9QAM,5155963,4874114,0062x00000DJ9SIAA1,0010K000021W0b7QAC,29,25.0,Living Expenses,5,500,9.857,Fortnightly,Loan Paid,2330,3864,21.0,4
0030K000025TyG3QAK,5155369,4837266,0062x00000DIVObAAP,0010K00002BRbNuQAL,29,24.0,Living Expenses,7,1000,12.857,Fortnightly,Loan Paid,2521,850,19.0,4
0030K00001SBlnLQAT,884280,4835571,0062x00000DITfeAAH,0010K00001hTYXsQAO,29,26.0,Vehicle Expenses,6,600,11.714,Fortnightly,Loan Paid,2256,2924,23.0,4
0032x000002QeQVAA0,5154457,4789945,0062x00000DHep1AAD,0012x000002dSDSAA2,29,25.0,Travel Expenses,3,300,5.714,Fortnightly,Loan Paid,2148,4533,21.0,4
0030K00001nYKZ7QAO,5154095,4774192,0062x00000DHKdHAAX,0010K000021DfAnQAK,29,26.0,Vehicle Expenses,6,200,12.0,Fortnightly,Loan Paid,301,3485,23.0,4
0032x000002Rpn0AAC,871301,4728183,0062x00000DGYoDAAX,0012x000003C8gKAAS,29,21.0,Other Expenses,7,1000,14.286,Fortnightly,Loan Paid,1968,1983,13.0,4
0030K00001nVWiLQAW,868463,4704270,0062x00000DG88UAAT,0010K000020IlIIQA0,29,25.0,Home Maintenance & Repairs,7,1250,14.0,Fortnightly,Loan Paid,1859,1037,21.0,4
00328000019urWZAAY,867101,4696328,0062x00000DFyYbAAL,0012800001SDT4eAAH,29,26.0,Living Expenses,7,450,14.143,Fortnightly,Loan Paid,2752,4448,23.0,4
003280000128jY0AAI,865547,4686434,0062x00000DFmPcAAL,0012800001IzG86AAF,29,26.0,Medical Expenses,7,450,13.143,Fortnightly,Loan Paid,802,3807,23.0,4
0032x000001l32XAAQ,5151513,4663697,0062x00000DFMonAAH,0012x000002c4OsAAI,29,26.0,Living Expenses,7,500,13.571,Fortnightly,Loan Paid,2251,2272,23.0,4
0030K000025TyG3QAK,5151431,4656992,0062x00000DFFR8AAP,0010K00002BRbNuQAL,29,23.0,Living Expenses,7,850,12.857,Fortnightly,Loan Paid,2521,3047,17.0,4
0030K00001N1JYnQAN,857088,4624768,0062x00000DAKCZAA5,0010K00001dOlc2QAC,29,25.0,Medical Expenses,7,350,13.429,Fortnightly,Loan Paid,640,768,21.0,4
0032x000002cN6xAAE,5150405,4609048,0062x00000DA1BDAA1,0012x000003E9qvAAC,29,26.0,Medical Expenses,7,200,13.857,Fortnightly,Loan Paid,887,4058,23.0,4
0030K0000269crpQAA,5150390,4609287,0062x00000DA1VDAA1,0010K00002CO0zaQAD,29,27.0,Living Expenses,3,250,4.857,Fortnightly,Loan Paid,1159,2475,25.0,4
0030K00001py0K8QAI,854501,4603802,0062x00000D9uTCAAZ,0010K000022MmGNQA0,29,24.0,Relocation Expenses,7,1100,14.0,Fortnightly,Loan Paid,1357,324,19.0,4
0030K00001gFMl5QAG,850908,4575548,0062x00000D9IIuAAN,0010K00001uJ2wpQAC,29,25.0,Veterinary Expenses,7,800,14.571,Fortnightly,Loan Paid,2169,3125,21.0,4
0030K00001nYKZ7QAO,5149051,4556153,0062x00000D8vAEAAZ,0010K000021DfAnQAK,29,25.0,Vehicle Expenses,3,200,4.857,Fortnightly,Loan Paid,301,3165,21.0,4
0030K00001nYPS9QAO,5149029,4556145,0062x00000D8v91AAB,0010K000021Dj1LQAS,29,26.0,Furniture or Appliances,7,750,14.286,Fortnightly,Loan Paid,554,333,23.0,4
00328000019usuoAAA,846261,4530100,0062x00000D8NODAA3,0012800001SDU7nAAH,29,26.0,Travel Expenses,7,700,12.714,Fortnightly,Loan Paid,172,3776,23.0,4
0030K00001fom5OQAQ,843381,4505786,0062x00000D7uPKAAZ,0010K00001u1AqQQAU,29,25.0,Living Expenses,7,800,14.143,Fortnightly,Loan Paid,261,56,21.0,4
0032x000002QeQVAA0,5147817,4500471,0062x00000D7nUlAAJ,0012x000002dSDSAA2,29,24.0,Furniture or Appliances,3,300,6.0,Fortnightly,Loan Paid,2148,1642,19.0,4
0030K00001okWTvQAM,5147352,4472728,0062x00000D7E1WAAV,0010K000021WAYHQA4,29,26.0,Living Expenses,5,350,10.143,Fortnightly,Loan Paid,2138,3861,23.0,4
0032x000001jYvJAAU,5147073,4458145,0062x00000D6tZZAAZ,0012x000002agH3AAI,29,26.0,Travel Expenses,7,1000,14.143,Fortnightly,Loan Paid,607,3178,23.0,4
0030K00001UmpFHQAZ,831360,4395102,0062x00000D1XBLAA3,0010K00001jpSDYQA2,29,28.0,Living Expenses,5,300,9.429,Fortnightly,Loan Paid,888,1274,27.0,4
0030K00001sAxybQAC,5148944,4547972,0062x00000D8kJKAAZ,0010K000023zsbXQAQ,29,24.0,Vehicle Expenses,5,500,10.143,Fortnightly,Loan Paid,1423,2218,19.0,4
0032x00000BZwPvAAL,5172482,6661373,0062x00000ExPxgAAF,0012x00000Ge3phAAB,28,27.0,Medical Expenses,7,400,13.143,Fortnightly,Loan Paid,2664,263,26.0,4
0030K00001rNDJEQA4,5171072,6429503,0062x00000Eda13AAB,0010K000023OqQFQA0,28,27.0,Living Expenses,7,500,13.571,Fortnightly,Loan Paid,2092,2186,26.0,4
0030K00001OhLdgQAF,1011979,6280955,0062x00000EbIGLAA3,0010K00001eZElzQAG,28,26.0,Living Expenses,10,500,20.571,Fortnightly,Loan Paid,540,2966,24.0,4
0032x00000BZwPvAAL,5169891,6261840,0062x00000EOSzWAAX,0012x00000Ge3phAAB,28,26.0,Medical Expenses,7,400,12.714,Fortnightly,Loan Paid,2664,668,24.0,4
0030K00001sEFJ3QAO,5169287,6165842,0062x00000ENKsPAAX,0010K00002434qZQAQ,28,26.0,Medical Expenses,7,500,13.143,Fortnightly,Loan Paid,2018,3496,24.0,4
00328000019NaQIAA0,995669,5947238,0062x00000EDTmwAAH,0012800001SBMdiAAH,28,24.0,Living Expenses,10,500,20.0,Fortnightly,Loan Paid,2316,3121,20.0,4
0032x00000Gf7SgAAJ,985407,5729471,0062x00000E6KBhAAN,0012x00000NRVufAAH,28,23.0,Travel Expenses,7,500,14.286,Fortnightly,Loan Paid,2086,1088,18.0,4
0030K000022wKlzQAE,5166098,5639409,0062x00000E5HhFAAV,0010K000028ezhQQAQ,28,26.0,Medical Expenses,8,500,16.0,Fortnightly,Loan Paid,1877,553,24.0,4
0030K00001cU5zUQAS,981202,5628254,0062x00000E5AEsAAN,0010K00001rKL1CQAW,28,25.0,Vehicle Expenses,7,1000,13.0,Fortnightly,Loan Paid,30,1782,22.0,4
0030K00001mkSLkQAM,5165344,5528392,0062x00000E3vzCAAR,0010K000020HuqQQAS,28,26.0,Vehicle Expenses,5,300,9.0,Fortnightly,Loan Paid,1156,2204,24.0,4
0032x000001jswhAAA,5165244,5514999,0062x00000E3lDrAAJ,0012x000002ay0RAAQ,28,25.0,Medical Expenses,5,400,9.286,Fortnightly,Loan Paid,2729,4251,22.0,4
00328000019usyAAAQ,943170,5479956,0062x00000DVrTBAA1,0012800001SDUB9AAP,28,25.0,Vehicle Expenses,7,1000,13.857,Fortnightly,Loan Paid,1545,2486,22.0,4
0032x000002RvIzAAK,5164778,5467248,0062x00000DVhtjAAD,0012x000003CDdNAAW,28,24.0,Other Expenses,7,600,14.0,Fortnightly,Loan Paid,1160,2050,20.0,4
0030K00001jzyxpQAA,942027,5465852,0062x00000DVfzQAAT,0010K00001xhWfHQAU,28,24.0,Life Event Expenses,7,1000,13.857,Fortnightly,Loan Paid,345,3865,20.0,4
0030K00001l499vQAA,940148,5438247,0062x00000DVJrYAAX,0010K00001y8lGAQAY,28,24.0,Life Event Expenses,5,500,9.429,Fortnightly,Loan Paid,1744,2568,20.0,4
0032x00000HGnsVAAT,5163586,5385771,0062x00000DUinnAAD,0012x00000NxFOPAA3,28,27.0,Travel Expenses,7,600,14.143,Fortnightly,Loan Paid,1265,1702,26.0,4
0030K00001iRsmGQAS,5163485,5377296,0062x00000DUdCIAA1,0010K00001zVedDQAS,28,27.0,Living Expenses,5,500,9.286,Fortnightly,Loan Paid,2037,334,26.0,4
0030K0000267jPfQAI,5163142,5338940,0062x00000DtigEAAR,0010K00002BTa3kQAD,28,25.0,Home Maintenance & Repairs,3,400,5.857,Fortnightly,Loan Paid,314,4133,22.0,4
0030K00001rNDJEQA4,5162408,5262750,0062x00000DsljBAAR,0010K000023OqQFQA0,28,26.0,Living Expenses,5,400,10.0,Fortnightly,Loan Paid,2092,2008,24.0,4
0032x000002evZCAAY,925135,5234444,0062x00000DsKmhAAF,0012x000003fO0jAAE,28,25.0,Living Expenses,7,900,14.0,Fortnightly,Loan Paid,1394,2045,22.0,4
0030K00001qE7nRQAS,5161936,5228302,0062x00000DsE3eAAF,0010K000022izkvQAA,28,27.0,Furniture or Appliances,3,300,6.143,Fortnightly,Loan Paid,375,2978,26.0,4
0030K000021sprtQAA,5161727,5209622,0062x00000DrxtOAAR,0010K00002825UJQAY,28,26.0,Living Expenses,7,1000,13.857,Fortnightly,Loan Paid,795,3352,24.0,4
0032x00000HGnsVAAT,5161385,5185687,0062x00000DrhkGAAR,0012x00000NxFOPAA3,28,26.0,Living Expenses,7,600,13.286,Fortnightly,Loan Paid,1265,3334,24.0,4
0032x00000BZwPvAAL,5161383,5185821,0062x00000DrhqYAAR,0012x00000Ge3phAAB,28,25.0,Medical Expenses,5,400,10.143,Fortnightly,Loan Paid,2664,164,22.0,4
