,Contact__c,Min_IT_Loan_ID__c,Opp_Number__c,Id,AccountID,Number_Of_Loans_Granted__c,Num_Of_Loans_Paid__c,Purpose_of_Loan__c,Total_Repayments__c,Amount,Term_in_Weeks__c,Payment_Frequency__c,StageName,Ratings
5006,0032x00000U44hlAAB,819622,4308062,0062x00000CzxHKAAZ,0012x00000e0KsiAAE,5,1.0,Life Event Expenses,5,500,10.143,Fortnightly,Loan Paid,0.2
5007,0032x00000U44fjAAB,790263,4019719,0062x00000Chfi2AAB,0012x00000e0KrGAAU,6,0.0,Living Expenses,3,500,5.857,Fortnightly,Loan Paid,0.0
5008,0032x00000U44fjAAB,821882,4325070,0062x00000D0HKxAAN,0012x00000e0KrGAAU,6,1.0,Living Expenses,5,350,10.0,Fortnightly,Loan Paid,0.16666666666666666
5009,0032x00000U44XkAAJ,824663,4343936,0062x00000D0cbRAAR,0012x00000e0KkvAAE,4,1.0,Living Expenses,10,200,10.286,Weekly,Loan Paid,0.25
5010,0032x00000U44QeAAJ,810162,4217300,0062x00000Clgl8AAB,0012x00000e0KdsAAE,4,0.0,Vehicle Expenses,6,500,5.857,Weekly,Loan Paid,0.0
5011,0032x00000U44JsAAJ,789987,4019242,0062x00000Chf1NAAR,0012x00000e0KZ0AAM,6,0.0,Travel Expenses,5,1200,9.714,Fortnightly,Loan Paid,0.0
5012,0032x00000U44EYAAZ,814009,4258176,0062x00000Cz11PAAR,0012x00000e0KToAAM,5,0.0,Living Expenses,3,1200,4.857,Fortnightly,Loan Paid,0.0
5013,0032x00000U44EOAAZ,825449,4347940,0062x00000D0iJwAAJ,0012x00000e0KTeAAM,4,0.0,Vehicle Expenses,3,200,6.571,Fortnightly,Loan Paid,0.0
5014,0032x00000U44ACAAZ,789949,4019023,0062x00000ChejOAAR,0012x00000e0KP8AAM,6,0.0,Medical / Dental expenses,6,500,5.857,Weekly,Loan Paid,0.0
5015,0032x00000U44ACAAZ,822580,4330857,0062x00000D0O0pAAF,0012x00000e0KP8AAM,6,1.0,Vehicle Expenses,14,1000,14.857,Weekly,Loan Paid,0.16666666666666666
5016,0032x00000U443GAAR,801949,4132225,0062x00000CjzMIAAZ,0012x00000e0KIbAAM,6,0.0,Living Expenses,3,1000,6.571,Fortnightly,Loan Paid,0.0
5017,0032x00000U43lMAAR,5139054,4018429,0062x00000ChdrlAAB,0012x00000e0K4YAAU,5,0.0,Medical Expenses,3,200,5.0,Fortnightly,Loan Paid,0.0
5018,0032x00000U43lMAAR,5143515,4221947,0062x00000ClmLsAAJ,0012x00000e0K4YAAU,5,1.0,Medical Expenses,3,300,5.0,Fortnightly,Loan Paid,0.2
5019,0032x00000U43gqAAB,822556,4320753,0062x00000D0BvDAAV,0012x00000e0K0aAAE,6,1.0,Other Expenses,7,600,13.857,Fortnightly,Loan Paid,0.16666666666666666
5020,0032x00000U43fTAAR,789979,4018242,0062x00000ChdcCAAR,0012x00000e0JyuAAE,4,0.0,Living Expenses,6,1000,5.857,Weekly,Loan Paid,0.0
5021,0032x00000U43fTAAR,824090,4339827,0062x00000D0Y0uAAF,0012x00000e0JyuAAE,4,1.0,Living Expenses,10,1500,10.571,Weekly,Loan Paid,0.25
5022,0032x00000U43eQAAR,794701,4060845,0062x00000CiYhSAAV,0012x00000e0JxrAAE,5,0.0,Living Expenses,3,1000,5.714,Fortnightly,Loan Paid,0.0
5023,0032x00000U43eQAAR,827726,4369454,0062x00000D16ytAAB,0012x00000e0JxrAAE,5,1.0,Living Expenses,7,1500,13.857,Fortnightly,Loan Paid,0.2
5024,0032x00000U43ceAAB,789843,4018164,0062x00000ChdV6AAJ,0012x00000e0JwUAAU,5,0.0,Home Improvements,3,500,5.0,Fortnightly,Loan Paid,0.0
5025,0032x00000U43ceAAB,819859,4309303,0062x00000CzzOcAAJ,0012x00000e0JwUAAU,5,1.0,Living Expenses,5,1000,9.429,Fortnightly,Loan Paid,0.2
5026,0032x00000U43cKAAR,790768,4018156,0062x00000ChdUSAAZ,0012x00000e0JwKAAU,4,0.0,Business - Equipment Purchase,6,700,6.0,Weekly,Loan Paid,0.0
5027,0032x00000U43NTAAZ,809041,4195033,0062x00000ClFnQAAV,0012x00000e0Jg0AAE,5,1.0,Living Expenses,10,400,10.286,Weekly,Loan Paid,0.2
5028,0032x00000U43IOAAZ,789937,4017786,0062x00000ChcwQAAR,0012x00000e0JOFAA2,5,0.0,Event - Holiday - Accommodation,2,800,9.286,Monthly,Loan Paid,0.0
5029,0032x00000U43I9AAJ,820590,4316125,0062x00000D076HAAR,0012x00000e0JO0AAM,4,1.0,Vehicle Expenses,10,1000,10.143,Weekly,Loan Paid,0.25
5030,0032x00000U43I9AAJ,828052,4361520,0062x00000D0yOEAAZ,0012x00000e0JO0AAM,4,2.0,Travel Expenses,16,2050,16.143,Weekly,Loan Paid,0.5
5031,0032x00000U43B8AAJ,790175,4017614,0062x00000ChcgrAAB,0012x00000e0JIlAAM,8,0.0,Other,6,500,6.0,Weekly,Loan Paid,0.0
5032,0032x00000U43B8AAJ,828847,4377319,0062x00000D1EsOAAV,0012x00000e0JIlAAM,8,1.0,Living Expenses,10,800,10.0,Weekly,Loan Paid,0.125
5033,0032x00000U43AyAAJ,828677,4376412,0062x00000D1Dh7AAF,0012x00000e0JIbAAM,4,1.0,Veterinary Expenses,7,800,13.857,Fortnightly,Loan Paid,0.25
5034,0032x00000U439WAAR,789820,4017583,0062x00000ChcdTAAR,0012x00000e0JHYAA2,5,0.0,Living Expenses,3,200,5.571,Fortnightly,Loan Paid,0.0
5035,0032x00000U42sGAAR,817325,4286963,0062x00000CzYbXAAV,0012x00000e0J4LAAU,4,1.0,Life Event Expenses,5,500,9.714,Fortnightly,Loan Paid,0.25
5036,0032x00000U42k2AAB,791411,4016911,0062x00000ChbmoAAB,0012x00000e0IxZAAU,4,0.0,Purchase fridge,3,500,5.857,Fortnightly,Loan Paid,0.0
5037,0032x00000U42izAAB,789599,4016893,0062x00000ChblgAAB,0012x00000e0IwgAAE,7,0.0,urgent car repair,3,1200,4.857,Fortnightly,Loan Paid,0.0
5038,0032x00000U42izAAB,817502,4279476,0062x00000CzQS8AAN,0012x00000e0IwgAAE,7,1.0,Travel Expenses,8,2050,15.857,Fortnightly,Loan Paid,0.14285714285714285
5039,0032x00000U42hdAAB,789701,4016867,0062x00000ChbjaAAB,0012x00000e0IviAAE,5,0.0,Vehicle Expenses,6,500,5.714,Weekly,Loan Paid,0.0
5040,0032x00000U42fiAAB,822499,4331009,0062x00000D0OAGAA3,0012x00000e0IuuAAE,5,1.0,Living Expenses,5,1500,9.857,Fortnightly,Loan Paid,0.2
5041,0032x00000U42cZAAR,804876,4149077,0062x00000CkLSiAAN,0012x00000e0IrSAAU,6,0.0,Vehicle Expenses,6,800,6.0,Weekly,Loan Paid,0.0
5042,0032x00000U42GNAAZ,5138977,4015907,0062x00000CV0JJAA1,0012x00000e0IWOAA2,4,0.0,Medical Expenses,6,500,5.857,Weekly,Loan Paid,0.0
5043,0032x00000U42GNAAZ,5144684,4311340,0062x00000D01UNAAZ,0012x00000e0IWOAA2,4,1.0,Vehicle Expenses,14,1000,14.143,Weekly,Loan Paid,0.25
5044,0032x00000U42B3AAJ,789481,4015679,0062x00000CV057AAD,0012x00000e0IR4AAM,5,0.0,Living Expenses,6,800,5.857,Weekly,Loan Paid,0.0
5045,0032x00000U40vzAAB,789422,4013517,0062x00000CUxkgAAD,0012x00000e0H7xAAE,5,0.0,"Living, utilities, bills",15,1200,14.714,Weekly,Loan Paid,0.0
5046,0032x00000U40uDAAR,789593,4013884,0062x00000CUyJRAA1,0012x00000e0H6QAAU,6,0.0,Home repairs,3,1200,4.714,Fortnightly,Loan Paid,0.0
5047,0032x00000U40u8AAB,5138960,4013463,0062x00000CUxgUAAT,0012x00000e0H6LAAU,6,0.0,Home Maintenance & Repairs,3,500,6.143,Fortnightly,Loan Paid,0.0
5048,0032x00000U40u8AAB,5143884,4257267,0062x00000Cz0MGAAZ,0012x00000e0H6LAAU,6,1.0,Vehicle Expenses,5,400,9.286,Fortnightly,Loan Paid,0.16666666666666666
5049,0032x00000U40rEAAR,789916,4013351,0062x00000CUxZ4AAL,0012x00000e0H3bAAE,4,0.0,Living Expenses,3,500,6.0,Fortnightly,Loan Paid,0.0
5050,0032x00000U40kYAAR,819733,4308710,0062x00000CzyRkAAJ,0012x00000e0GwYAAU,5,1.0,Travel Expenses,5,1000,9.286,Fortnightly,Loan Paid,0.2
5051,0032x00000U3xA7AAJ,808572,4194333,0062x00000ClEpkAAF,0012x00000e0Go0AAE,5,0.0,Living Expenses,3,500,6.286,Fortnightly,Loan Paid,0.0
5052,0032x00000U3v0iAAB,824370,4323999,0062x00000D0G4FAAV,0012x00000e0GcxAAE,6,1.0,Living Expenses,7,600,13.143,Fortnightly,Loan Paid,0.16666666666666666
5053,0032x00000U3uwDAAR,789282,4012608,0062x00000CUwM4AAL,0012x00000e0GSPAA2,6,0.0,Living Expenses,3,500,4.857,Fortnightly,Loan Paid,0.0
5054,0032x00000U3uwDAAR,821322,4321846,0062x00000D0DXdAAN,0012x00000e0GSPAA2,6,1.0,Vehicle Expenses,5,1000,8.857,Fortnightly,Loan Paid,0.16666666666666666
5055,0032x00000U3upLAAR,817957,4292534,0062x00000CzejVAAR,0012x00000e0GNLAA2,4,0.0,Living Expenses,6,500,6.571,Weekly,Loan Paid,0.0
5056,0032x00000U3uorAAB,794319,4056686,0062x00000CiSmmAAF,0012x00000e0GMjAAM,4,0.0,Furniture or Appliances,3,1000,6.0,Fortnightly,Loan Paid,0.0
5057,0032x00000U3umvAAB,823586,4331955,0062x00000D0PDVAA3,0012x00000e0GKxAAM,5,0.0,Travel Expenses,3,500,4.857,Fortnightly,Loan Paid,0.0
5058,0032x00000U3ufMAAR,789150,4012258,0062x00000CUvmzAAD,0012x00000e0GEfAAM,4,0.0,Medical - Dental,6,300,5.714,Weekly,Loan Paid,0.0
5059,0032x00000U3ufMAAR,822087,4326298,0062x00000D0IzIAAV,0012x00000e0GEfAAM,4,1.0,Living Expenses,10,500,9.714,Weekly,Loan Paid,0.25
5060,0032x00000U3uWeAAJ,790540,4012089,0062x00000CUvWDAA1,0012x00000e0G7RAAU,4,0.0,Other Expenses,6,500,5.857,Weekly,Loan Paid,0.0
5061,0032x00000U3uSIAAZ,789084,4011971,0062x00000CUvKRAA1,0012x00000e0G2sAAE,6,0.0,Vehicle - Repairs,3,500,6.0,Fortnightly,Loan Paid,0.0
5062,0032x00000U3uSIAAZ,820421,4315454,0062x00000D067YAAR,0012x00000e0G2sAAE,6,1.0,Vehicle Expenses,8,2050,16.143,Fortnightly,Loan Paid,0.16666666666666666
5063,0032x00000U3uIBAAZ,789151,4011779,0062x00000CUv02AAD,0012x00000e0FunAAE,8,0.0,Living Expenses,3,1200,6.0,Fortnightly,Loan Paid,0.0
5064,0032x00000U3uIBAAZ,823263,4332944,0062x00000D0QO5AAN,0012x00000e0FunAAE,8,1.0,Other Expenses,5,400,9.857,Fortnightly,Loan Paid,0.125
5065,0032x00000U3uEiAAJ,789055,4011722,0062x00000CUumkAAD,0012x00000e0Fs4AAE,6,0.0,Living Expenses,3,200,5.0,Fortnightly,Loan Paid,0.0
5066,0032x00000U3uEiAAJ,814949,4267767,0062x00000CzBq2AAF,0012x00000e0Fs4AAE,6,1.0,Medical Expenses,5,250,10.0,Fortnightly,Loan Paid,0.16666666666666666
5067,0032x00000U3uDBAAZ,789015,4011695,0062x00000CUurAAAT,0012x00000e0FqgAAE,4,0.0,Living Expenses,3,200,5.0,Fortnightly,Loan Paid,0.0
5068,0032x00000U3tnUAAR,788932,4011017,0062x00000CUtreAAD,0012x00000e0FSzAAM,6,0.0,Child Expenses,3,200,6.0,Fortnightly,Loan Paid,0.0
5069,0032x00000U3tnUAAR,821014,4320646,0062x00000D0CKTAA3,0012x00000e0FSzAAM,6,1.0,Medical Expenses,6,500,12.0,Fortnightly,Loan Paid,0.16666666666666666
5070,0032x00000U3ti0AAB,789227,4010856,0062x00000CUtdDAAT,0012x00000e0FNfAAM,5,0.0,Student Loan Repayment,3,600,5.0,Fortnightly,Loan Paid,0.0
5071,0032x00000U3t7FAAR,788746,4009986,0062x00000CUsTGAA1,0012x00000e0EsyAAE,5,0.0,Living Expenses,3,200,5.143,Fortnightly,Loan Paid,0.0
5072,0032x00000U3t7FAAR,825575,4351748,0062x00000D0md2AAB,0012x00000e0EsyAAE,5,1.0,Living Expenses,5,300,10.429,Fortnightly,Loan Paid,0.2
5073,0032x00000U3t70AAB,789115,4009978,0062x00000CUsSmAAL,0012x00000e0EsZAAU,4,0.0,Event - Funeral - Accommodation,3,300,5.0,Fortnightly,Loan Paid,0.0
5074,0032x00000U3t70AAB,819782,4307610,0062x00000Czwg4AAB,0012x00000e0EsZAAU,4,1.0,Life Event Expenses,5,250,9.286,Fortnightly,Loan Paid,0.25
5075,0032x00000U3t4aAAB,788669,4009900,0062x00000CUsMAAA1,0012x00000e0EqTAAU,4,0.0,Home - Repairs/Maintenance,3,1000,6.0,Fortnightly,Loan Paid,0.0
5076,0032x00000U3t4aAAB,829507,4368818,0062x00000D16TzAAJ,0012x00000e0EqTAAU,4,1.0,Living Expenses,5,600,9.0,Fortnightly,Loan Paid,0.25
5077,0032x00000U3slxAAB,816737,4280241,0062x00000CzRXsAAN,0012x00000e0EbXAAU,7,1.0,Vehicle Expenses,5,400,9.857,Fortnightly,Loan Paid,0.14285714285714285
5078,0032x00000U3sgTAAR,788605,4009155,0062x00000CUrM4AAL,0012x00000e0EVtAAM,5,0.0,Event - Birthday - Present,6,400,5.714,Weekly,Loan Paid,0.0
5079,0032x00000U3sfMAAR,789529,4009168,0062x00000CUrKnAAL,0012x00000e0EUNAA2,4,0.0,Vehicle Expenses,3,300,5.0,Fortnightly,Loan Paid,0.0
5080,0032x00000U3sfMAAR,822154,4326275,0062x00000D0IwxAAF,0012x00000e0EUNAA2,4,1.0,Life Event Expenses,7,700,13.0,Fortnightly,Loan Paid,0.25
5081,0032x00000U3ruHAAR,825385,4348240,0062x00000D0iunAAB,0012x00000e0DudAAE,4,1.0,Living Expenses,10,1600,10.286,Weekly,Loan Paid,0.25
5082,0032x00000U3rooAAB,788462,4007730,0062x00000CUpkxAAD,0012x00000e0DpUAAU,5,0.0,Life Event Expenses,3,1200,5.0,Fortnightly,Loan Paid,0.0
5083,0032x00000U3rooAAB,819435,4307090,0062x00000CzvxOAAR,0012x00000e0DpUAAU,5,1.0,Life Event Expenses,8,2100,15.286,Fortnightly,Loan Paid,0.2
5084,0032x00000U3rgUAAR,789519,4007428,0062x00000CUpI6AAL,0012x00000e0DeiAAE,6,0.0,Vehicle Expenses,6,500,5.857,Weekly,Loan Paid,0.0
5085,0032x00000U3rgUAAR,824143,4332677,0062x00000D0Q5IAAV,0012x00000e0DeiAAE,6,1.0,Other Expenses,10,600,9.714,Weekly,Loan Paid,0.16666666666666666
5086,0032x00000U3r0sAAB,822094,4325500,0062x00000D0HsfAAF,0012x00000e0CyhAAE,5,0.0,Medical Expenses,6,500,7.0,Weekly,Loan Paid,0.0
5087,0032x00000U3qEZAAZ,788310,4004911,0062x00000CUmUrAAL,0012x00000e0CCbAAM,4,0.0,Life Event Expenses,3,300,5.0,Fortnightly,Loan Paid,0.0
5088,0032x00000U3qEZAAZ,823057,4331624,0062x00000D0OnTAAV,0012x00000e0CCbAAM,4,1.0,Child Expenses,7,2000,14.714,Fortnightly,Loan Paid,0.25
5089,0032x00000U3q1KAAR,788305,4004896,0062x00000CUmSWAA1,0012x00000e0CBiAAM,6,0.0,Vehicle Expenses,3,1000,6.0,Fortnightly,Loan Paid,0.0
5090,0032x00000U3phKAAR,788971,4004545,0062x00000CUlhGAAT,0012x00000e0BlzAAE,5,0.0,Event - Wedding - Accommodation,6,1200,5.857,Weekly,Loan Paid,0.0
5091,0032x00000U3pPxAAJ,788190,4004298,0062x00000CUlAWAA1,0012x00000e0BYtAAM,5,0.0,Living Expenses,3,500,6.429,Fortnightly,Loan Paid,0.0
5092,0032x00000U3pOpAAJ,797068,4081994,0062x00000CizieAAB,0012x00000e0BXlAAM,4,0.0,Home Maintenance & Repairs,2,500,6.571,Monthly,Loan Paid,0.0
5093,0032x00000U3pKOAAZ,788164,4004212,0062x00000CUl0gAAD,0012x00000e0BUXAA2,7,0.0,Life Event Expenses,6,500,6.0,Weekly,Loan Paid,0.0
5094,0032x00000U3pKOAAZ,824150,4340270,0062x00000D0YTDAA3,0012x00000e0BUXAA2,7,1.0,Vehicle Expenses,10,600,9.571,Weekly,Loan Paid,0.14285714285714285
5095,0032x00000U3pDmAAJ,792446,4041927,0062x00000Ci8HAAAZ,0012x00000e0BPFAA2,4,0.0,Vehicle Expenses,3,400,5.429,Fortnightly,Loan Paid,0.0
5096,0032x00000U3p5xAAB,788120,4003959,0062x00000CUkbCAAT,0012x00000e0BHOAA2,4,0.0,Vehicle - Deposit,3,500,5.857,Fortnightly,Loan Paid,0.0
5097,0032x00000U3p1BAAR,788178,4003879,0062x00000CUkTrAAL,0012x00000e0BDKAA2,4,0.0,Living Expenses,2,300,9.571,Monthly,Loan Paid,0.0
5098,0032x00000U3oNLAAZ,788015,4003189,0062x00000CUjOHAA1,0012x00000e0AbaAAE,4,0.0,Relocation Expenses,3,800,6.0,Fortnightly,Loan Paid,0.0
5099,0032x00000U3oNLAAZ,821043,4317926,0062x00000D09bdAAB,0012x00000e0AbaAAE,4,1.0,Vehicle Expenses,8,2050,15.857,Fortnightly,Loan Paid,0.25
5100,0032x00000U3oIaAAJ,787979,4003096,0062x00000CUjFKAA1,0012x00000e0AY5AAM,4,0.0,Medical - Medication,3,300,6.286,Fortnightly,Loan Paid,0.0
5101,0032x00000U3oIaAAJ,827408,4367152,0062x00000D14uzAAB,0012x00000e0AY5AAM,4,1.0,Vehicle Expenses,5,1000,9.143,Fortnightly,Loan Paid,0.25
5102,0032x00000U3oGjAAJ,788135,4003070,0062x00000CUjCzAAL,0012x00000e0AVqAAM,4,0.0,Vet - Procedure,3,1200,5.857,Fortnightly,Loan Paid,0.0
5103,0032x00000U3oGjAAJ,823852,4332673,0062x00000D0PxAAAV,0012x00000e0AVqAAM,4,1.0,Child Expenses,5,550,9.571,Fortnightly,Loan Paid,0.25
5104,0032x00000U3nU3AAJ,787845,4002075,0062x00000CUhkBAAT,0012x00000e09rJAAQ,5,0.0,Education - Uniforms,3,400,5.0,Fortnightly,Loan Paid,0.0
5105,0032x00000U3nU3AAJ,816592,4279701,0062x00000CzQjiAAF,0012x00000e09rJAAQ,5,1.0,Other Expenses,7,1000,13.714,Fortnightly,Loan Paid,0.2
5106,0032x00000U3mrfAAB,788034,4000924,0062x00000CUgY9AAL,0012x00000e09HBAAY,4,0.0,Vehicle Expenses,3,1200,6.0,Fortnightly,Loan Paid,0.0
5107,0032x00000U3lVCAAZ,795572,4065794,0062x00000CifzSAAR,0012x00000e07rmAAA,4,0.0,Student Loan Repayment,3,1200,6.0,Fortnightly,Loan Paid,0.0
5108,0032x00000U3lLvAAJ,787678,3998383,0062x00000CUdlFAAT,0012x00000e07iaAAA,7,0.0,Living Expenses,6,1000,6.286,Weekly,Loan Paid,0.0
5109,0032x00000U3lLvAAJ,815214,4269912,0062x00000CzEx6AAF,0012x00000e07iaAAA,7,1.0,Medical Expenses,16,2050,16.0,Weekly,Loan Paid,0.14285714285714285
5110,0032x00000U3lLMAAZ,823240,4330230,0062x00000D0NMRAA3,0012x00000e07i6AAA,4,1.0,Life Event Expenses,10,2050,20.0,Fortnightly,Loan Paid,0.25
5111,0032x00000U3lEnAAJ,797267,4082998,0062x00000Cj1YBAAZ,0012x00000e07cNAAQ,4,0.0,Bills,6,300,6.429,Weekly,Loan Paid,0.0
5112,0032x00000U3l3TAAR,787632,3998023,0062x00000CUd25AAD,0012x00000e07RGAAY,4,0.0,Living Expenses,6,400,6.286,Weekly,Loan Paid,0.0
5113,0032x00000U3l34AAB,819255,4304593,0062x00000CzsNPAAZ,0012x00000e07QmAAI,5,1.0,Travel Expenses,10,2000,10.0,Weekly,Loan Paid,0.2
5114,0032x00000U3kb0AAB,793588,4049932,0062x00000CiJfMAAV,0012x00000e06wMAAQ,6,0.0,Travel Expenses,3,500,5.143,Fortnightly,Loan Paid,0.0
5115,0032x00000U3kb0AAB,824266,4339726,0062x00000D0XuDAAV,0012x00000e06wMAAQ,6,1.0,Travel Expenses,5,700,9.714,Fortnightly,Loan Paid,0.16666666666666666
5116,0032x00000U3kXqAAJ,805873,4173243,0062x00000CkpoTAAR,0012x00000e06tpAAA,5,0.0,Vehicle Expenses,6,500,5.714,Weekly,Loan Paid,0.0
5117,0032x00000U3kWdAAJ,787493,3997538,0062x00000CUc2dAAD,0012x00000e06sfAAA,5,0.0,Home - Repairs/Maintenance,3,150,5.429,Fortnightly,Loan Paid,0.0
5118,0032x00000U3kWdAAJ,816645,4270475,0062x00000CzFkmAAF,0012x00000e06sfAAA,5,1.0,Living Expenses,5,200,10.143,Fortnightly,Loan Paid,0.2
5119,0032x00000U3kWYAAZ,787652,3997537,0062x00000CUc2YAAT,0012x00000e06saAAA,5,0.0,Medical Expenses,3,1000,6.143,Fortnightly,Loan Paid,0.0
5120,0032x00000U3kIwAAJ,814264,4260263,0062x00000Cz3KTAAZ,0012x00000e06hPAAQ,4,0.0,Event - Funeral - Accommodation,3,250,5.143,Fortnightly,Loan Paid,0.0
5121,0032x00000U3kHVAAZ,817336,4286604,0062x00000CzYFMAA3,0012x00000e06fsAAA,4,1.0,Travel Expenses,5,1500,9.714,Fortnightly,Loan Paid,0.25
5122,0032x00000U3k9QAAR,824093,4340048,0062x00000D0Y07AAF,0012x00000e06ZZAAY,6,1.0,Other Expenses,10,1400,9.714,Weekly,Loan Paid,0.16666666666666666
5123,0032x00000U3k8mAAB,787949,3997147,0062x00000CUbNpAAL,0012x00000e06YvAAI,6,0.0,Other Expenses,7,1200,14.286,Fortnightly,Loan Paid,0.0
5124,0032x00000U3k8hAAB,816301,4277933,0062x00000CzOKNAA3,0012x00000e06YqAAI,4,0.0,Home Maintenance & Repairs,3,1200,5.714,Fortnightly,Loan Paid,0.0
5125,0032x00000U3joDAAR,825498,4351368,0062x00000D0mGNAAZ,0012x00000e06HwAAI,6,1.0,Other Expenses,10,400,10.286,Weekly,Loan Paid,0.16666666666666666
5126,0032x00000U3jeSAAR,787641,3996511,0062x00000CUaMwAAL,0012x00000e068aAAA,5,0.0,Home Maintenance & Repairs,3,500,6.286,Fortnightly,Loan Paid,0.0
5127,0032x00000U3jc2AAB,824387,4339487,0062x00000D0XGEAA3,0012x00000e0667AAA,4,1.0,Living Expenses,16,2050,15.857,Weekly,Loan Paid,0.25
5128,0032x00000U3jYjAAJ,795390,4065250,0062x00000Cief9AAB,0012x00000e063SAAQ,4,0.0,Vehicle Expenses,3,250,5.857,Fortnightly,Loan Paid,0.0
5129,0032x00000U3jYjAAJ,827728,4369448,0062x00000D175FAAR,0012x00000e063SAAQ,4,1.0,Living Expenses,5,500,9.286,Fortnightly,Loan Paid,0.25
5130,0032x00000U3jTtAAJ,793877,4052178,0062x00000CiNOyAAN,0012x00000e060YAAQ,4,0.0,Furniture or Appliances,6,800,6.0,Weekly,Loan Paid,0.0
5131,0032x00000U3jRJAAZ,787342,3996206,0062x00000CUa2MAAT,0012x00000e05y9AAA,4,0.0,Life Event Expenses,3,200,6.286,Fortnightly,Loan Paid,0.0
5132,0032x00000U3iS8AAJ,824205,4339956,0062x00000D0Y15AAF,0012x00000e05RcAAI,5,1.0,Living Expenses,5,500,8.714,Fortnightly,Loan Paid,0.2
5133,0032x00000U3gUBAAZ,787551,3991161,0062x00000CUUBNAA5,0012x00000e03BwAAI,4,0.0,Living Expenses,3,200,5.714,Fortnightly,Loan Paid,0.0
5134,0032x00000U3gUBAAZ,826528,4358863,0062x00000D0vCeAAJ,0012x00000e03BwAAI,4,1.0,Vehicle Expenses,5,300,10.857,Fortnightly,Loan Paid,0.25
5135,0032x00000U3gStAAJ,819945,4309382,0062x00000CzzUfAAJ,0012x00000e03AjAAI,6,1.0,Living Expenses,16,2050,17.143,Weekly,Loan Paid,0.16666666666666666
5136,0032x00000U3gRCAAZ,787053,3991070,0062x00000CUU4RAAX,0012x00000e0392AAA,4,0.0,Living Expenses,6,500,6.429,Weekly,Loan Paid,0.0
5137,0032x00000U3gRCAAZ,824154,4340246,0062x00000D0YRgAAN,0012x00000e0392AAA,4,1.0,Life Event Expenses,10,800,9.714,Weekly,Loan Paid,0.25
5138,0032x00000U3gNFAAZ,823779,4336319,0062x00000D0V1GAAV,0012x00000e035ZAAQ,4,1.0,Travel Expenses,5,500,10.429,Fortnightly,Loan Paid,0.25
5139,0032x00000U3gLsAAJ,815710,4274023,0062x00000CzKJaAAN,0012x00000e034CAAQ,6,1.0,Other Expenses,10,1000,9.857,Weekly,Loan Paid,0.16666666666666666
5140,0032x00000U3gK1AAJ,787012,3990893,0062x00000CUTqjAAH,0012x00000e032LAAQ,4,0.0,Vehicle Expenses,3,1200,6.286,Fortnightly,Loan Paid,0.0
5141,0032x00000U3g5IAAR,786955,3990670,0062x00000CUTPnAAP,0012x00000e02oGAAQ,4,0.0,Living Expenses,6,200,6.429,Weekly,Loan Paid,0.0
5142,0032x00000U3g5IAAR,790129,4019604,0062x00000ChfXiAAJ,0012x00000e02oGAAQ,4,1.0,Living Expenses,10,300,9.857,Weekly,Loan Paid,0.25
5143,0032x00000U3g4ZAAR,786987,3990654,0062x00000CUTNwAAP,0012x00000e02nDAAQ,5,0.0,Vehicle Expenses,3,200,6.143,Fortnightly,Loan Paid,0.0
5144,0032x00000U3fa8AAB,786846,3990194,0062x00000CUSPKAA5,0012x00000e02FUAAY,4,0.0,Bills - Non Utility,3,200,6.429,Fortnightly,Loan Paid,0.0
5145,0032x00000U3fYbAAJ,786830,3990177,0062x00000CUSN4AAP,0012x00000e02EUAAY,4,0.0,Living Expenses,3,300,6.286,Fortnightly,Loan Paid,0.0
5146,0032x00000U3fYbAAJ,813781,4258074,0062x00000Cz0yyAAB,0012x00000e02EUAAY,4,1.0,Vehicle Expenses,5,1000,9.0,Fortnightly,Loan Paid,0.25
5147,0032x00000U3f8nAAB,786796,3989797,0062x00000CURcSAAX,0012x00000e01uRAAQ,5,0.0,Moving - Bond,3,500,5.286,Fortnightly,Loan Paid,0.0
5148,0032x00000U3f8nAAB,815136,4269728,0062x00000CzEizAAF,0012x00000e01uRAAQ,5,1.0,Travel Expenses,7,1000,13.857,Fortnightly,Loan Paid,0.2
5149,0032x00000U3es9AAB,786787,3989528,0062x00000CURAnAAP,0012x00000e01fjAAA,4,0.0,Living Expenses,3,800,6.429,Fortnightly,Loan Paid,0.0
5150,0032x00000U3eWqAAJ,786782,3989345,0062x00000CUQseAAH,0012x00000e01MyAAI,5,0.0,Relocation Expenses,3,1000,5.286,Fortnightly,Loan Paid,0.0
5151,0032x00000U3eWqAAJ,816376,4278214,0062x00000CzOniAAF,0012x00000e01MyAAI,5,1.0,Travel Expenses,8,2050,15.571,Fortnightly,Loan Paid,0.2
5152,0032x00000U3eNFAAZ,786575,3989103,0062x00000CUQShAAP,0012x00000e01FCAAY,4,0.0,Living Expenses,6,500,6.286,Weekly,Loan Paid,0.0
5153,0032x00000U3eMgAAJ,786699,3989089,0062x00000CUQReAAP,0012x00000e01ETAAY,5,0.0,Living Expenses,6,500,6.571,Weekly,Loan Paid,0.0
5154,0032x00000U3eMgAAJ,825244,4347578,0062x00000D0hjKAAR,0012x00000e01ETAAY,5,1.0,Travel Expenses,10,1000,10.571,Weekly,Loan Paid,0.2
